Participant,Age,Gender,MusicTraining,PF_Score,Condition,Arousal
1,19,Female,32,4,1,2
2,19,Female,46,8,2,4
3,20,Female,38,6,2,3
4,19,Male,33,7,2,4
5,19,Male,42,6,2,4
6,20,Female,40,7,1,3
7,20,Female,29,6,2,2
8,18,Female,45,5,1,2
9,19,Female,40,6,2,3
10,19,Female,46,6,1,1
11,19,Female,44,5,2,2
12,20,Female,36,4,1,3
13,20,Female,38,5,2,3
14,19,Female,41,8,1,4
15,19,Male,45,6,2,2
16,18,Female,40,5,1,2
